 00Z 02 Jun 2017   173.18  25.80
 12Z 02 Jun 2017   246.50  30.15
 00Z 03 Jun 2017   13.27  19.57
 12Z 03 Jun 2017   15.02  20.08
 00Z 04 Jun 2017   114.41  23.43
 12Z 04 Jun 2017   458.80  28.43
 00Z 05 Jun 2017   310.70  27.09
 12Z 05 Jun 2017   0.00  18.54
 00Z 06 Jun 2017   0.00  16.12
 12Z 06 Jun 2017   0.00  19.54
 00Z 07 Jun 2017   0.00  20.78
 12Z 07 Jun 2017   0.00  16.85
 00Z 08 Jun 2017   0.00  19.46
 12Z 08 Jun 2017   0.00  21.88
 00Z 09 Jun 2017   0.00  20.48
 12Z 09 Jun 2017   0.00  21.84
 00Z 10 Jun 2017   26.54  24.37
 12Z 10 Jun 2017   0.00  23.44
 00Z 11 Jun 2017   2230.32  34.03
 12Z 11 Jun 2017   416.29  30.82
 00Z 12 Jun 2017   2745.54  40.16
 12Z 12 Jun 2017   880.06  46.65
 00Z 13 Jun 2017   1429.74  39.66
 12Z 13 Jun 2017   479.60  24.90
 18Z 13 Jun 2017   2748.49  37.28
 00Z 14 Jun 2017   3136.92  32.00
 12Z 14 Jun 2017   19.18  34.47
 00Z 15 Jun 2017   266.07  19.61
 12Z 15 Jun 2017   10.04  22.69
 00Z 16 Jun 2017   1909.53  33.24
 12Z 16 Jun 2017   97.30  28.53
 21Z 16 Jun 2017   3528.00  35.93
 00Z 17 Jun 2017   2922.33  42.92
 12Z 17 Jun 2017   187.77  37.10
 00Z 18 Jun 2017   0.09  36.84
 12Z 18 Jun 2017   0.00  19.10
 00Z 19 Jun 2017   28.26  19.59
 12Z 19 Jun 2017   17.63  20.28
 00Z 20 Jun 2017   51.95  19.56
 12Z 20 Jun 2017   30.16  21.19
 00Z 21 Jun 2017   0.00  26.42
 12Z 21 Jun 2017   44.58  33.54
 21Z 21 Jun 2017   1738.27  34.77
 00Z 22 Jun 2017   1870.13  37.24
 12Z 22 Jun 2017   44.85  34.53
 00Z 23 Jun 2017   2009.57  40.40
 12Z 23 Jun 2017   0.00  20.64
 00Z 24 Jun 2017   5.20  18.14
 12Z 24 Jun 2017   0.00  9.89
 00Z 25 Jun 2017   19.26  15.01
 12Z 25 Jun 2017   0.00  15.49
 00Z 26 Jun 2017   0.00  13.12
 12Z 26 Jun 2017   40.54  26.52
 00Z 27 Jun 2017   0.00  11.48
 12Z 27 Jun 2017   2.75  12.95
 00Z 28 Jun 2017   1015.96  32.40
 12Z 28 Jun 2017   268.20  38.96
 18Z 28 Jun 2017   2261.14  35.03
 00Z 29 Jun 2017   935.62  21.62
 12Z 29 Jun 2017   780.05  36.90
 18Z 29 Jun 2017   485.63  28.39
 00Z 30 Jun 2017   1750.36  34.62
 12Z 30 Jun 2017   0.00  24.10
 00Z 01 Jul 2017   599.65  31.02
 12Z 01 Jul 2017   0.00  20.42
 00Z 02 Jul 2017   120.73  31.39
 12Z 02 Jul 2017   20.15  30.91
 00Z 03 Jul 2017   915.00  26.21
 12Z 03 Jul 2017   1975.26  32.32
 00Z 04 Jul 2017   0.00  26.79
 12Z 04 Jul 2017   1621.00  35.07
 00Z 05 Jul 2017   2159.38  35.52
 12Z 05 Jul 2017   136.29  27.88
 00Z 06 Jul 2017   1011.61  24.43
 12Z 06 Jul 2017   26.74  31.39
 00Z 07 Jul 2017   3866.39  43.78
 12Z 07 Jul 2017   0.00  24.95
 00Z 08 Jul 2017   19.39  23.50
 12Z 08 Jul 2017   20.28  22.67
 00Z 09 Jul 2017   433.72  27.25
 12Z 09 Jul 2017   536.81  31.94
 00Z 10 Jul 2017   3334.67  34.81
 12Z 10 Jul 2017   693.01  32.14
 00Z 11 Jul 2017   2457.41  36.06
 12Z 11 Jul 2017   97.93  33.96
 00Z 12 Jul 2017   3218.48  42.88
 12Z 12 Jul 2017   226.46  40.55
 00Z 13 Jul 2017   17.42  42.09
 12Z 13 Jul 2017   37.43  46.16
 00Z 14 Jul 2017   184.46  31.70
 12Z 14 Jul 2017   0.00  23.02
 00Z 15 Jul 2017   551.65  25.28
 12Z 15 Jul 2017   969.41  28.94
 00Z 16 Jul 2017   2439.69  32.44
 12Z 16 Jul 2017   319.27  28.81
 00Z 17 Jul 2017   1870.05  30.70
 12Z 17 Jul 2017   343.52  22.99
 00Z 18 Jul 2017   1188.83  25.41
 12Z 18 Jul 2017   486.36  46.25
 00Z 19 Jul 2017   2809.21  50.80
 12Z 19 Jul 2017   701.16  45.83
 00Z 20 Jul 2017   4327.69  43.49
 12Z 20 Jul 2017   712.27  37.60
 00Z 21 Jul 2017   3166.03  47.58
